"year","Alcopops","All offal other than liver","All other fats","Baby foods","Bacon and ham, cooked","Bacon and ham, uncooked","Beef and veal","Beers","Biscuits other than chocolate","Blue fish, dried or salted or smoked","Breakfast cereals","Brown and wholemeal bread","Buns, scones and teacakes","Burgers, frozen or not frozen","Butter","Cakes and pastries","Cakes and pastries - frozen","Canned milk puddings","Chewing gum","Chicken, uncooked - whole chicken or chicken pieces","Chocolate bars - filled","Chocolate bars - solid","Chocolate biscuits","Ciders and perry","Cocoa and chocolate drinks","Coffee beans and ground coffee","Coffee essences","Cooked poultry not purchased in cans","Corned beef, canned or sliced","Crispbread","Fortified wines","Fresh fruit","Fresh green vegetables","Fresh potatoes","Fudges, toffees, caramels","Herrings and other blue fish, fresh, chilled or frozen","Honey","Ice cream products including takeaways","Ice cream tub or block","Infant cereal foods","Instant coffee","Invalid foods, slimming foods and sports foods","Jams and fruit curds","Jelly squares or crystals","Lagers and continental beers","Lard, cooking fat","Liqueurs and cocktails","Liquid wholemilk, including school and welfare","Liver","Malt drinks and chocolate versions of malted drinks","Margarine","Marmalade","Meals on wheels - items not specified","Meat pastes and spreads","Meat pies and sausage rolls, ready to eat","Meat pies, pasties and puddings, frozen or not frozen","Mineral or spring waters","Mints and boiled sweets","Mutton and lamb","Natural cheese","Oatmeal and oat products","Other canned meat and canned meat products","Other cereal convenience foods","Other cereals","Other cooked meat","Other fresh vegetables","Other fresh, chilled and frozen meat","Other milk and cream","Other poultry, uncooked (including frozen)","Other takeaway food brought home","Other tinned or bottled fish","Pasta","Pate and delicatessen type sausage","Pickles and sauces","Pizza","Pork","Processed cheese","Processed fruit and fruit products","Processed potatoes","Processed vegetables excluding processed potatoes","Puddings","Ready meals and convenience meat products","Ready meals and other fish products - frozen or not frozen","Rice","Salmon, fresh, chilled or frozen","Salmon, tinned","Salt","Sausages, uncooked - beef and other sausages","Sausages, uncooked - pork","Shellfish","Soft drinks, concentrated, low calorie (h)","Soft drinks, concentrated, not low calorie (h)","Soft drinks, not concentrated,  not low calorie","Soft drinks, not concentrated, low calorie","Soups - canned or cartons","Soups - dehydrated or powdered","Soups - from takeaway","Soya and novel protein foods","Spirits","Spirits with mixer","Spreads and dressings","Stock cubes and meat and yeast extracts","Sugar","Syrup, treacle","Takeaway confectionery","Takeaway fish","Takeaway fish meals and fish products","Takeaway meats","Tea","Tea and coffee from takeaway","Total other bread","Vegetable and salad oils","White bread","White fish, dried, salted or smoked","White fish, fresh, chilled or frozen","Wine and champagne"
"1984","null","9","9","9","30","74","1","null","26","4","30","96","31","28","75","null","10","16","null","152","null","null","49","null","10","4","0","1","24","9","null","20","7","407","null","null","7","null","63","4","17","0","28","9","null","48","null","1913","0","7","30","21","null","5","4","24","8","null","8","5","11","31","13","11","14","5","2","18","3","null","14","null","16","3","1","12","7","167","21","37","7","49","32","13","null","7","26","50","43","1","null","null","null","null","78","4","null","1","null","null","2","6","320","4","null","19","2","null","55","null","null","25","null","7","16","null"
"1985","null","9","13","9","30","77","2","null","25","4","29","110","32","30","74","null","13","15","null","146","null","null","51","null","10","4","0","1","24","8","null","18","5","373","null","null","7","null","61","5","17","0","26","8","null","45","null","1719","1","7","27","19","null","4","5","24","17","null","7","6","13","35","14","10","15","5","1","18","2","null","15","null","16","3","1","11","7","165","25","51","7","52","33","11","null","6","27","50","42","1","null","null","null","null","79","5","null","1","null","null","2","6","294","5","null","16","2","null","53","null","null","25","null","6","18","null"
"1986","null","8","7","11","30","73","1","null","27","5","32","166","33","27","59","null","12","15","null","156","null","null","49","null","11","5","0","1","25","9","null","22","10","364","null","null","7","null","66","4","17","0","29","7","null","43","null","1565","1","8","23","20","null","4","6","27","21","null","6","7","14","34","16","15","14","6","1","19","1","null","17","null","17","3","2","11","8","216","27","52","8","56","33","12","null","8","24","46","38","2","null","null","null","null","74","5","null","1","null","null","3","6","282","5","null","17","2","null","53","null","null","33","null","7","18","null"
"1987","null","8","7","10","31","69","1","null","25","5","32","145","34","29","56","null","13","16","null","168","null","null","55","null","12","4","0","1","21","8","null","21","10","398","null","null","7","null","68","4","16","0","27","7","null","36","null","1497","0","8","20","19","null","3","5","28","30","null","5","7","13","34","17","14","14","6","1","20","2","null","20","null","18","3","3","10","8","228","30","55","8","58","32","15","null","7","20","44","38","1","null","null","null","null","81","4","null","1","null","null","3","6","262","5","null","20","2","null","52","null","null","33","null","5","17","null"
"1988","null","7","7","10","30","68","1","null","24","5","32","133","35","27","53","null","15","15","null","168","null","null","56","null","11","5","0","2","26","9","null","19","12","368","null","null","7","null","68","4","16","0","26","7","null","32","null","1393","1","8","14","19","null","4","4","28","36","null","6","8","16","36","17","15","13","6","1","19","2","null","20","null","17","3","4","11","8","235","30","51","8","58","33","12","null","7","17","41","35","2","null","null","null","null","81","4","null","1","null","null","3","6","243","5","null","18","2","null","50","null","null","34","null","5","17","null"
"1989","null","6","8","11","32","65","1","null","24","6","32","126","36","27","46","null","17","16","null","163","null","null","58","null","10","4","0","1","24","8","null","18","14","391","null","null","7","null","70","4","15","0","24","6","null","28","null","1279","0","10","8","18","null","5","5","26","73","null","6","7","14","34","19","16","13","6","1","21","2","null","23","null","17","3","6","10","9","238","32","56","7","59","34","14","null","5","15","43","35","2","null","null","null","null","79","4","null","1","null","null","3","6","226","4","null","15","3","null","49","null","null","35","null","5","19","null"
"1990","null","5","7","11","31","62","1","null","24","5","33","118","37","27","42","null","18","15","null","164","null","null","55","null","11","4","0","2","21","8","null","20","15","340","null","null","6","null","71","4","15","0","25","6","null","25","null","1150","0","8","6","17","null","4","6","25","77","null","8","7","13","31","19","16","10","6","1","18","3","null","24","null","15","3","8","13","9","225","29","58","7","58","33","13","null","6","15","39","35","2","null","null","null","null","70","3","null","0","null","null","3","5","211","5","null","15","3","null","46","null","null","37","null","4","19","null"
"1991","null","5","7","8","31","61","1","null","24","5","34","113","43","27","40","null","16","17","null","165","null","null","57","null","9","4","0","1","20","8","null","23","4","319","null","null","6","null","72","3","16","0","26","5","null","19","null","1029","1","11","9","19","null","4","5","28","97","null","7","7","18","30","26","16","10","7","1","22","3","null","23","null","16","3","7","11","9","278","33","62","8","65","30","17","null","9","15","25","42","2","null","null","null","null","71","4","null","2","null","null","3","5","206","5","null","11","2","null","45","null","null","37","null","5","18","null"
"1992","0","5","9","8","31","58","1","115","24","5","34","119","44","28","38","null","21","16","1","172","56","27","59","47","8","4","0","2","23","8","22","21","3","299","4","null","7","null","88","3","15","1","22","5","183","18","2","904","1","12","5","17","null","4","5","34","135","30","6","5","14","36","28","20","9","7","2","23","3","null","24","null","10","3","8","9","10","247","38","61","6","65","31","17","null","9","15","27","39","2","103","731","426","189","72","3","null","2","27","1","2","5","193","3","null","16","3","null","41","null","null","42","29","4","17","128"
"1993","0","5","7","6","32","55","1","112","22","5","34","113","43","30","37","null","23","17","1","172","56","28","62","44","7","5","0","2","20","8","19","24","3","279","4","null","6","null","83","3","15","0","21","4","185","17","2","822","1","11","5","16","null","4","5","31","122","32","8","6","13","32","20","20","9","7","1","23","2","null","23","null","11","3","9","8","9","263","41","58","6","71","36","17","null","8","14","25","40","2","145","647","469","210","67","4","null","2","29","1","2","5","186","3","null","17","3","null","39","null","null","39","25","4","16","142"
"1994","0","4","7","6","36","56","0","122","21","5","34","112","42","30","36","null","24","17","1","160","57","26","61","52","6","4","0","2","21","8","19","22","3","278","5","null","5","null","93","2","14","0","21","4","189","16","2","785","0","10","4","18","null","3","7","33","125","29","8","5","10","34","20","20","9","7","1","21","3","null","23","null","11","3","8","9","10","267","43","60","6","77","35","17","null","9","14","27","40","2","197","613","484","220","69","3","null","3","25","1","2","4","178","3","null","18","3","null","41","null","null","42","19","5","16","142"
"1995","0","3","7","7","37","54","1","131","17","4","35","102","40","30","34","null","26","19","1","166","58","29","59","77","5","5","0","3","18","7","18","27","3","287","5","null","5","null","96","2","13","0","20","4","207","14","2","740","0","9","3","16","null","3","7","33","151","30","8","6","10","36","24","22","9","8","2","18","2","null","23","null","11","4","12","9","10","272","42","59","7","78","30","11","null","8","13","25","43","2","240","602","548","264","66","3","null","3","29","1","2","4","169","3","null","14","10","1","42","null","null","42","15","5","17","160"
"1996","0","3","6","6","31","55","2","137","19","4","39","108","53","24","37","null","21","17","1","172","65","30","70","82","8","5","0","9","13","7","19","27","7","281","7","null","5","null","80","1","14","0","21","3","214","13","1","680","1","10","7","15","null","3","9","28","143","29","11","6","12","29","34","26","18","9","1","23","3","null","24","null","12","4","10","17","12","282","48","56","9","68","29","14","null","8","15","17","52","2","201","601","528","273","73","4","null","5","30","3","2","5","177","4","null","11","13","1","41","null","null","47","19","7","21","162"
"1997","2","3","5","8","39","48","3","139","14","4","33","98","49","22","36","null","18","17","1","169","68","28","68","58","7","4","0","8","15","8","16","27","6","257","5","null","6","null","64","3","12","0","21","3","226","10","3","655","0","9","5","15","null","2","8","29","172","28","10","8","15","30","32","28","7","8","1","20","4","null","23","null","11","4","10","14","11","301","46","53","7","71","28","15","null","8","12","15","54","2","235","586","522","282","72","3","null","6","27","2","3","5","157","3","null","11","12","1","39","null","null","41","17","6","19","174"
"1998","1","2","5","7","38","44","1","116","14","4","36","88","47","23","36","null","16","16","2","161","66","29","68","61","7","4","0","11","13","7","14","29","7","255","5","null","5","null","55","2","13","0","18","3","224","9","3","635","0","6","4","15","null","2","9","29","170","25","9","7","10","28","24","3","6","8","1","21","4","null","24","null","9","4","12","15","10","332","48","52","8","71","28","17","null","7","9","14","52","2","193","551","507","290","73","3","null","5","26","2","2","4","146","2","null","11","14","1","37","null","null","41","20","5","18","194"
"1999","4","2","6","7","37","43","2","113","14","4","30","95","45","23","35","null","17","16","1","155","63","26","67","60","9","4","0","12","13","7","16","28","8","228","5","1","4","null","65","1","11","0","17","2","216","8","3","584","0","9","3","14","null","3","7","30","184","26","8","8","12","28","24","2","6","9","1","20","4","null","27","null","10","4","14","5","10","315","49","53","8","78","26","14","1","5","11","15","48","2","191","600","502","292","68","3","null","5","30","2","3","4","132","3","null","11","13","1","35","null","null","39","8","6","16","193"
"2000","10","2","4","7","39","46","2","124","14","5","29","98","49","24","37","null","18","15","1","170","80","33","71","58","9","4","0","10","12","9","16","30","10","249","5","1","4","null","70","2","12","1","17","3","264","7","3","616","1","9","4","13","null","2","9","30","204","26","8","8","14","30","31","3","7","9","1","22","3","null","27","null","12","5","13","6","12","332","52","47","7","87","28","13","1","7","9","14","52","2","187","613","571","329","72","3","null","5","32","2","2","5","130","3","null","7","13","1","36","null","null","40","10","5","16","211"
"2001","18","3","5","8","45","49","2","108","13","5","28","106","37","23","41","1","14","14","2","170","57","27","67","55","5","3","0","5","12","6","15","22","4","230","4","1","5","2","113","1","13","2","16","4","278","6","4","565","1","4","1","11","0","2","10","35","197","33","7","10","12","32","29","5","10","3","2","20","3","0","29","1","11","1","20","4","12","327","45","36","10","57","36","22","1","6","12","12","54","7","144","608","658","335","79","4","0","5","35","0","3","4","112","3","0","12","2","0","34","null","2","49","4","4","17","212"
"2002","18","2","7","8","45","49","1","112","13","5","26","100","41","21","37","1","12","16","2","165","56","27","69","50","4","3","0","6","12","6","19","24","5","222","4","1","4","2","115","1","12","4","16","4","268","5","5","529","0","4","1","11","1","2","10","30","210","33","7","10","13","36","27","6","11","4","1","20","4","0","29","1","8","1","18","3","12","333","47","37","9","61","38","20","1","6","11","9","57","7","153","587","678","339","80","4","0","5","33","0","4","5","111","3","0","11","2","0","34","0","2","46","4","4","16","211"
"2003","19","3","7","9","47","50","1","105","13","5","29","101","44","23","35","1","13","14","2","168","59","27","62","64","4","4","0","5","12","6","14","22","4","217","4","0","4","2","122","1","13","5","15","4","311","5","6","559","1","4","1","11","1","1","12","44","236","32","7","12","12","36","31","4","11","4","2","20","4","0","28","1","11","1","19","10","14","322","48","40","9","56","43","20","0","6","10","8","62","4","148","660","762","362","77","3","0","5","35","1","4","4","102","3","0","11","2","0","31","0","2","45","2","4","10","226"
"2004","14","2","7","7","43","50","2","96","14","6","25","120","47","21","35","1","9","13","3","165","60","30","58","55","4","3","0","6","12","7","12","28","5","416","4","0","5","2","109","1","13","4","16","4","299","4","5","461","0","4","4","10","1","1","11","43","251","31","6","12","14","36","31","4","10","4","2","19","4","0","30","1","11","1","20","10","14","280","48","32","11","57","45","21","1","6","9","6","61","6","135","626","765","306","76","4","0","6","33","1","5","4","99","3","0","11","2","0","31","0","2","44","3","4","8","237"
